"sra","status"
"SRR14033414","Not Run"
"SRR14033393","Not Run"
"SRR14033390","Not Run"
"SRR11409417","Not Run"
"SRR11393704","Not Run"
"SRR12162233","Not Run"
"SRR11593361","Not Run"
"SRR11593396","Not Run"
"SRR11593359","Not Run"
"SRR11593374","Not Run"
"ERR4463279","Not Run"
"SRR11593365","Not Run"
"SRR11593419","Not Run"
"ERR4423907","Not Run"
"SRR13082622","Not Run"
"ERR4352998","Not Run"
"SRR11622006","Not Run"
"ERR4423341","Not Runƒ"
"ERR4413608","Not Run"
"ERR4459988","Not Run"
"ERR4462673","Not Run"
"ERR4422637","Not Run"
"ERR4437121","Not Run"
"ERR4437452","Not Run"
"SRR12733954","Not Run"
"ERR4353315","Not Run"
"SRR12349113","Not Run"
"ERR4353708","Not Run"
"ERR4422960","Not Run"
"ERR4639341","Not Run"
"ERR4639875","Not Run"
"ERR4641559","Not Run"
"ERR4640467","Not Run"
"ERR4633631","Not Run"
"ERR4637060","Not Run"
"ERR4645575","Not Run"
"ERR4584371","Not Run"
"SRR12531789","Not Run"
"SRR12895716","Not Run"
"SRR12895871","Not Run"
"SRR12754154","Not Run"
"ERR4597906","Not Run"
"SRR12752915","Not Run"
"ERR4644945","Not Run"
"ERR4686632","Not Run"
"ERR4667806","Not Run"
"ERR4669218","Not Run"
"ERR4668990","Not Run"
"ERR4688535","Not Run"
"ERR4699831","Not Run"
"SRR13563279","Not Run"
"ERR4824816","Not Run"
"ERR4824949","Not Run"
"ERR4835054","Not Run"
"ERR4893972","Not Run"
"ERR4874605","Not Run"
"ERR4906265","Not Run"
"ERR5025086","Not Run"
"ERR4990089","Not Run"
"ERR5026800","Not Run"
"ERR5041785","Not Run"
"ERR5041851","Not Run"
"ERR5176389","Not Run"
"ERR5178962","Not Run"
"ERR5181283","Not Run"
"ERR5190317","Not Run"
"ERR5305867","Not Run"
"ERR5215506","Not Run"
"ERR5274470","Not Run"
"ERR5335692","Not Run"
"SRR14200461","Not Run"
"ERR5316790","Not Run"
"ERR5335479","Not Run"
"ERR5351695","Not Run"
"SRR14037942","Not Run"
"SRR14446999","Not Run"
"SRR14406735","Not Run"
"ERR5667267","Not Run"
"SRR14772771","Not Run"
"SRR14447946","Not Run"
"SRR14362525","Not Run"
"SRR14337897","Not Run"
"SRR14608048","Not Run"
"SRR14474353","Not Run"
"SRR14547196","Not Run"
"SRR14627930","Not Run"
"SRR14720218","Not Run"
"SRR14609347","Not Run"
"SRR14609587","Not Run"
"SRR14867668","Not Run"
"SRR14836158","Not Run"
"SRR14033412","Not Run"
"SRR14033406","Not Run"
"SRR14033389","Not Run"
"SRR14033402","Not Run"
"SRR11494763","Not Run"
"SRR13312487","Not Run"
"SRR13312488","Not Run"
"SRR11593364","Not Run"
"SRR11593418","Not Run"
"ERR4463297","Not Run"
"SRR11593352","Not Run"
"SRR11593356","Not Run"
"ERR4424018","Not Run"
"ERR4164771","Not Run"
"ERR4463289","Not Run"
"SRR11494612","Not Run"
"SRR13204740","Not Run"
"SRR13188597","Not Run"
"SRR13193328","Not Run"
"ERR4458603","Not Run"
"SRR12980327","Not Run"
"SRR11507365","Not Run"
"ERR4458974","Not Run"
"ERR4437785","Not Run"
"ERR4459703","Not Run"
"ERR4424995","Not Run"
"ERR4460366","Not Run"
"SRR11578248","Not Run"
"SRR11582240","Not Run"
"ERR4581201","Not Run"
"SRR12733517","Not Run"
"ERR4424340","Not Run"
"ERR4437379","Not Run"
"ERR4438486","Not Run"
"ERR4333012","Not Run"
"ERR4353631","Not Run"
"SRR12349131","Not Run"
"ERR4438147","Not Run"
"ERR4422924","Not Run"
"ERR4422411","Not Run"
"ERR4632135","Not Run"
"SRR12661004","Not Run"
"ERR4438731","Not Run"
"ERR4632053","Not Run"
"SRR13195289","Not Run"
"ERR4633439","Not Run"
"ERR4642761","Not Run"
"ERR4639682","Not Run"
"ERR4641513","Not Run"
"ERR4640673","Not Run"
"ERR4639632","Not Run"
"ERR4633143","Not Run"
"ERR4640333","Not Run"
"ERR4637193","Not Run"
"SRR12531261","Not Run"
"SRR12536820","Not Run"
"SRR12531800","Not Run"
"SRR12529487","Not Run"
"SRR12530192","Not Run"
"SRR12754937","Not Run"
"ERR4584814","Not Run"
"SRR12751079","Not Run"
"SRR12752425","Not Run"
"SRR13130074","Not Run"
"SRR12753776","Not Run"
"ERR4597698","Not Run"
"ERR4598849","Not Run"
"ERR4643065","Not Run"
"SRR12763596","Not Run"
"ERR4643184","Not Run"
"SRR12754258","Not Run"
"ERR4686528","Not Run"
"ERR4686760","Not Run"
"ERR4599609","Not Run"
"ERR4647168","Not Run"
"ERR4651160","Not Run"
"ERR4652052","Not Run"
"ERR4652877","Not Run"
"ERR4763252","Not Run"
"ERR4668406","Not Run"
"ERR4668440","Not Run"
"ERR4659368","Not Run"
"ERR4688435","Not Run"
"ERR4706873","Not Run"
"ERR4763502","Not Run"
"ERR4792808","Not Run"
"ERR4763917","Not Run"
"ERR4788047","Not Run"
"ERR4793403","Not Run"
"ERR4826433","Not Run"
"ERR4825023","Not Run"
"ERR4827255","Not Run"
"ERR4824581","Not Run"
"ERR4848811","Not Run"
"ERR4861339","Not Run"
"ERR4849464","Not Run"
"ERR4860936","Not Run"
"ERR4874858","Not Run"
"ERR4878261","Not Run"
"ERR5057371","Not Run"
"ERR4905630","Not Run"
"ERR5021500","Not Run"
"ERR4989718","Not Run"
"ERR5240413","Not Run"
"ERR5020396","Not Run"
"ERR5027044","Not Run"
"ERR5025790","Not Run"
"ERR5052912","Not Run"
"ERR5052951","Not Run"
"ERR5054027","Not Run"
"ERR5041080","Not Run"
"ERR5040813","Not Run"
"ERR5058153","Not Run"
"ERR5177079","Not Run"
"ERR5181042","Not Run"
"ERR5179731","Not Run"
"ERR5187190","Not Run"
"ERR5196271","Not Run"
"ERR5304264","Not Run"
"ERR5188799","Not Run"
"ERR5189526","Not Run"
"ERR5307708","Not Run"
"ERR5277731","Not Run"
"ERR5334211","Not Run"
"ERR5314268","Not Run"
"ERR5293387","Not Run"
"ERR5316846","Not Run"
"ERR5379217","Not Run"
"ERR5339175","Not Run"
"ERR5339018","Not Run"
"ERR5349715","Not Run"
"ERR5353067","Not Run"
"SRR13958117","Not Run"
"SRR13867970","Not Run"
"SRR14626083","Not Run"
"SRR14446774","Not Run"
"SRR14114906","Not Run"
"ERR5668477","Not Run"
"SRR14239182","Not Run"
"SRR14219274","Not Run"
"SRR14115030","Not Run"
"ERR5666424","Not Run"
"SRR14512699","Not Run"
"SRR14192274","Not Run"
"SRR14337673","Not Run"
"SRR14312735","Not Run"
"SRR14362485","Not Run"
"SRR14429588","Not Run"
"SRR14429224","Not Run"
"SRR14378678","Not Run"
"SRR14464301","Not Run"
"SRR14791683","Not Run"
"SRR14463899","Not Run"
"SRR14570516","Not Run"
"SRR14751658","Not Run"
"SRR14546618","Not Run"
"SRR14627886","Not Run"
"SRR14546802","Not Run"
"SRR14555298","Not Run"
"SRR14792001","Not Run"
"SRR14767390","Not Run"
"SRR14767235","Not Run"
"SRR14555281","Not Run"
"SRR14671455","Not Run"
