taxon,lineage,probability,pangoLEARN_version,status,note
_ERR4364007.0,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.1,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.2,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.3,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.4,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.5,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.6,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.7,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.8,B.1.1.1,1.0,2021-02-21,passed_qc,
_ERR4364007.9,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.10,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.11,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.12,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.13,B.1.1.255,1.0,2021-02-21,passed_qc,
_ERR4364007.14,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.15,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.16,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.17,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.18,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.19,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.20,B.1.1.1,1.0,2021-02-21,passed_qc,
_ERR4364007.21,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.22,B.1.1.163,1.0,2021-02-21,passed_qc,
_ERR4364007.23,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.24,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.25,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.26,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.27,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.28,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.29,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.30,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.31,B.1.1,1.0,2021-02-21,passed_qc,
_ERR4364007.32,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.33,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.34,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.35,B.1.1.163,1.0,2021-02-21,passed_qc,
_ERR4364007.36,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.37,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.38,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.39,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.40,B.1.1.170,1.0,2021-02-21,passed_qc,
_ERR4364007.41,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.42,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.43,B.1.1.170,1.0,2021-02-21,passed_qc,
_ERR4364007.44,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.45,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.46,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.47,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.48,B.1.1.51,1.0,2021-02-21,passed_qc,
_ERR4364007.49,B.1.1.170,1.0,2021-02-21,passed_qc,
_ERR4364007.50,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.51,B.1.1.39,1.0,2021-02-21,passed_qc,
_ERR4364007.52,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.53,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.54,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.55,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.56,B.1.1.286,1.0,2021-02-21,passed_qc,
_ERR4364007.57,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.58,B.1.1.281,1.0,2021-02-21,passed_qc,
_ERR4364007.59,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.60,B.1.1.148,1.0,2021-02-21,passed_qc,
_ERR4364007.61,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.62,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.63,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.64,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.65,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.66,B.1.1.303,1.0,2021-02-21,passed_qc,
_ERR4364007.67,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.68,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.69,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.70,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.71,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.72,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.73,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.74,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.75,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.76,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.77,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.78,B.1.1.67,1.0,2021-02-21,passed_qc,
_ERR4364007.79,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.80,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.81,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.82,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.83,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.84,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.85,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.86,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.87,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.88,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.89,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.90,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.91,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.92,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.93,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.94,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.95,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.96,D.3,1.0,2021-02-21,passed_qc,
_ERR4364007.97,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.98,B.1.1.1,1.0,2021-02-21,passed_qc,
_ERR4364007.99,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.100,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.101,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.102,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.103,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.104,B.1.1.311,1.0,2021-02-21,passed_qc,
_ERR4364007.105,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.106,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.107,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.108,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.109,B.1.1.1,1.0,2021-02-21,passed_qc,
_ERR4364007.110,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.111,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.112,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.113,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.114,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.115,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.116,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.117,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.118,B.1.1.272,1.0,2021-02-21,passed_qc,
_ERR4364007.119,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.120,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.121,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.122,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.123,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.124,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.125,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.126,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.127,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.128,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.129,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.130,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.131,B.1.1.170,1.0,2021-02-21,passed_qc,
_ERR4364007.132,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.133,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.134,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.135,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.136,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.137,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.138,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.139,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.140,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.141,B.1.1.1,1.0,2021-02-21,passed_qc,
_ERR4364007.142,B.1.1.37,1.0,2021-02-21,passed_qc,
_ERR4364007.143,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.144,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.145,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.146,B.1.1.59,1.0,2021-02-21,passed_qc,
_ERR4364007.147,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.148,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.149,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.150,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.151,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.152,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.153,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.154,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.155,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.156,B.1.1.70,1.0,2021-02-21,passed_qc,
_ERR4364007.157,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.158,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.159,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.160,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.161,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.162,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.163,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.164,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.165,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.166,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.167,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.168,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.169,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.170,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.171,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.172,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.173,B.1.1.1,1.0,2021-02-21,passed_qc,
_ERR4364007.174,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.175,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.176,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.177,B.1.1.307,1.0,2021-02-21,passed_qc,
_ERR4364007.178,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.179,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.180,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.181,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.182,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.183,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.184,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.185,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.186,D.2,1.0,2021-02-21,passed_qc,
_ERR4364007.187,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.188,B.1,1.0,2021-02-21,passed_qc,
_ERR4364007.189,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.190,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.191,B.1.1.227,1.0,2021-02-21,passed_qc,
_ERR4364007.192,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.193,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.194,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.195,B.1.1.29,1.0,2021-02-21,passed_qc,
