taxon,lineage,probability,pangoLEARN_version,status,note
_SRR13020990_small.0,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.1,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.2,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.3,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.4,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.5,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.6,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.7,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.8,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.9,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.10,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.11,None,0,2021-02-21,fail,seq_len:2584
