taxon,lineage,probability,pangoLEARN_version,status,note
_SRR13020990_small.0,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.1,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.2,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.3,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.4,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.5,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.6,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.7,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.8,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.9,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.10,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.11,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.12,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.13,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.14,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.15,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.16,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.17,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.18,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.19,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.20,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.21,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.22,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.23,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.24,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.25,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.26,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.27,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.28,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.29,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.30,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.31,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.32,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.33,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.34,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.35,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.36,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.37,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.38,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.39,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.40,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.41,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.42,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.43,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.44,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.45,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.46,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.47,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.48,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.49,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.50,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.51,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.52,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.53,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.54,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.55,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.56,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.57,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.58,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.59,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.60,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.61,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.62,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.63,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.64,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.65,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.66,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.67,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.68,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.69,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.70,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.71,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.72,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.73,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.74,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.75,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.76,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.77,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.78,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.79,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.80,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.81,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.82,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.83,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.84,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.85,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.86,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.87,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.88,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.89,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.90,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.91,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.92,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.93,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.94,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.95,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.96,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.97,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.98,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.99,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.100,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.101,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.102,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.103,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.104,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.105,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.106,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.107,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.108,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.109,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.110,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.111,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.112,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.113,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.114,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.115,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.116,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.117,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.118,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.119,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.120,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.121,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.122,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.123,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.124,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.125,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.126,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.127,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.128,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.129,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.130,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.131,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.132,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.133,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.134,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.135,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.136,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.137,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.138,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.139,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.140,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.141,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.142,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.143,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.144,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.145,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.146,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.147,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.148,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.149,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.150,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.151,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.152,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.153,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.154,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.155,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.156,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.157,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.158,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.159,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.160,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.161,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.162,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.163,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.164,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.165,None,0,2021-02-21,fail,seq_len:2584
