taxon,lineage,probability,pangoLEARN_version,status,note
_SRR13021038.0,A.2.2,1.0,2021-02-21,passed_qc,
_SRR13021038.24,A,1.0,2021-02-21,passed_qc,
_SRR13021038.38,A,1.0,2021-02-21,passed_qc,
_SRR13021038.112,B,1.0,2021-02-21,passed_qc,
_SRR13021038.302,A,1.0,2021-02-21,passed_qc,
_SRR13021038.330,A,1.0,2021-02-21,passed_qc,
_SRR13021038.349,A,1.0,2021-02-21,passed_qc,
_SRR13021038.392,A,1.0,2021-02-21,passed_qc,
_SRR13021038.471,A,1.0,2021-02-21,passed_qc,
_SRR13021038.538,A,1.0,2021-02-21,passed_qc,
_SRR13021038.547,A,1.0,2021-02-21,passed_qc,
_SRR13021038.586,A,1.0,2021-02-21,passed_qc,
_SRR13021038.621,A,1.0,2021-02-21,passed_qc,
_SRR13021038.715,A,1.0,2021-02-21,passed_qc,
_SRR13021038.818,A,1.0,2021-02-21,passed_qc,
_SRR13021038.821,A,1.0,2021-02-21,passed_qc,
_SRR13021038.927,A,1.0,2021-02-21,passed_qc,
_SRR13021038.955,A,1.0,2021-02-21,passed_qc,
_SRR13021038.1001,A.2.2,1.0,2021-02-21,passed_qc,
