taxon,lineage,probability,pangoLEARN_version,status,note
_ERR4667618_0_111111111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-2.496605_112111111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-6.68602_211111111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-7.032975_111112111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-7.429031_121111111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-7.454833_111121111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-7.542774_111111111112,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-7.572174_111111111121,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-7.672072_111111112111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-7.676498_111111211111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-7.701369_111111121111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-7.709679_111111111211,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-9.182625_212111111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-9.52958_112112111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-9.57747_111211111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-9.925636_122111111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-9.951439_112121111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-10.039379_112111111112,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-10.068779_112111111121,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-10.168677_112111112111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-10.173103_112111211111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-10.197974_112111121111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-10.206284_112111111211,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-12.074075_112211111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-13.718995_211112111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.115051_221111111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.140853_211121111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.228794_211111111112,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.258194_211111111121,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.358092_211111112111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.362518_211111211111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.387389_211111121111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.395699_211111111211,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.462006_121112111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.487808_111122111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.575749_111112111112,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.605149_111112111121,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.705047_111112112111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.709473_111112211111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.734344_111112121111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.742654_111112111211,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.883865_121121111111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.971805_121111111112,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-14.997607_111121111112,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.001205_121111111121,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.027007_111121111121,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.101103_121111112111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.105529_121111211111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.114948_111111111122,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.126906_111121112111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.1304_121111121111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.131331_111121211111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.13871_121111111211,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.156202_111121121111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.164512_111121111211,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.214846_111111112112,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.219272_111111211112,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.244143_111111121112,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.244246_111111112121,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.248672_111111211121,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.252452_111111111212,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.273543_111111121121,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.281853_111111111221,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.34857_111111212111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.373441_111111122111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.377867_111111221111,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.381751_111111112211,B.1.1.315,1.0,2021-02-21,passed_qc,
_ERR4667618_-15.386177_111111211211,B.1.1.315,1.0,2021-02-21,passed_qc,
