name,date
FR996779.1|ERR4463279|2020-02-28|UnitedKingdom_England|B.1|Homosapiens||29788|,2020-02-28
OA964598.1|ERR4423907|2020-02-29|UnitedKingdom_England|B.1|Homosapiens||29782|,2020-02-29
OA965134.1|ERR4423341|2020-03-31|UnitedKingdom_England|B.39|Homosapiens||29782|,2020-03-31
FR995079.1|ERR4459703|2020-04-01|UnitedKingdom_England|B.40|Homosapiens||29810|,2020-04-01
OA966712.1|ERR4424995|2020-04-02|UnitedKingdom_England|B.1.1.369|Homosapiens||29903|,2020-04-02
FR995565.1|ERR4459988|2020-04-02|UnitedKingdom_England|B.1|Homosapiens||29782|,2020-04-02
FR994536.1|ERR4460366|2020-04-03|UnitedKingdom_England|B.1.104|Homosapiens||29782|,2020-04-03
OA966863.1|ERR4581201|2020-04-08|UnitedKingdom_England|B.1.1.369|Homosapiens||29903|,2020-04-08
OA966942.1|ERR4424340|2020-04-11|UnitedKingdom_England|B.1.1.8|Homosapiens||29903|,2020-04-11
FR999417.1|ERR4437121|2020-04-21|UnitedKingdom_England|B.1|Homosapiens||29782|,2020-04-21
OA966070.1|ERR4437452|2020-04-23|UnitedKingdom_England|B.1.465|Homosapiens||29783|,2020-04-23
OA964663.1|ERR4438486|2020-04-27|UnitedKingdom_England|B.1|Homosapiens||29782|,2020-04-27
OA963946.1|ERR4333012|2020-05-01|UnitedKingdom_NorthernIreland|B.1.1.119|Homosapiens||29779|,2020-05-01
MT810872.1|SRR12349131|2020-05-05|USA_SanDiego_California|B.1|Homosapiens|oronasopharynx|29409|,2020-05-05
OA965739.1|ERR4438147|2020-05-06|UnitedKingdom_England|B.1.1.369|Homosapiens||29782|,2020-05-06
FR998350.1|ERR4422411|2020-05-11|UnitedKingdom_England|B.1.1.369|Homosapiens||29782|,2020-05-11
MT810888.1|SRR12349113|2020-05-19|USA_SanDiego_California|B.1|Homosapiens|oronasopharynx|29409|,2020-05-19
OA981706.1|ERR4632053|2020-05-23|UnitedKingdom_England|B.1.1|Homosapiens||29782|,2020-05-23
OA980444.1|ERR4633439|2020-06-11|UnitedKingdom_England|B.1|Homosapiens||29903|,2020-06-11
OA975834.1|ERR4642761|2020-06-11|UnitedKingdom_England|B.1.1|Homosapiens||29903|,2020-06-11
OA977779.1|ERR4639682|2020-06-13|UnitedKingdom_England|B.1.1.59|Homosapiens||29903|,2020-06-13
OA977926.1|ERR4639875|2020-06-13|UnitedKingdom_England|B.1.1.37|Homosapiens||29903|,2020-06-13
