"","X.2","X.1","X","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash","Status"
"1",1,1,1,"SRR12639958","2020/10/19 22:59:52","2020/10/19 22:52:58",1320139,392329899,1320139,297,188,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRR/012343/SRR12639958","SRX9122012","3","WGS","PCR","GENOMIC","PAIRED",0,0,"ILLUMINA","NextSeq 550","SRP282375","PRJNA663402",NA,663402,"SRS7364487","SAMN16124703","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","3",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"SEOUL NATIONAL UNIVERSITY HOSPITAL","SRA1125389",NA,"public","175A9C15C44E759C79C330734F5E5422","2C2078F2D717979F34DF3DAE34D33F0F","Complete"
"2",2,2,2,"SRR12639953","2020/10/19 23:38:55","2020/10/19 22:57:48",10879066,3248972707,10879066,298,662,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/sra58/SRR/012343/SRR12639953","SRX9122017","C10","WGS","PCR","GENOMIC","PAIRED",0,0,"ILLUMINA","NextSeq 550","SRP282375","PRJNA663402",NA,663402,"SRS7364492","SAMN16124696","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","C10",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"SEOUL NATIONAL UNIVERSITY HOSPITAL","SRA1125389",NA,"public","402EF8E1AA8CEA63837625307312FD17","2D93C238BBE51ABDD4E5F9BBAA451706","Incomplete File"
"3",3,3,3,"SRR12639961","2020/10/19 23:16:33","2020/10/19 22:54:12",3946024,1174577064,3946024,297,237,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/012343/SRR12639961","SRX9122009","C17","WGS","PCR","GENOMIC","PAIRED",0,0,"ILLUMINA","NextSeq 550","SRP282375","PRJNA663402",NA,663402,"SRS7364484","SAMN16124700","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","C17",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"SEOUL NATIONAL UNIVERSITY HOSPITAL","SRA1125389",NA,"public","771FEBC6A447BCF7D95E0EEC799942EB","809D3CFA4B766D6E1E3934D062A98D7B","Complete"
"4",4,4,4,"ERR4759453","2020/10/27 17:03:51","2021/01/13 05:47:42",116195,40718560,115660,350,9,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR4759/ERR4759453","ERX4632587","","WGS","PCR","GENOMIC","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5246027","SAMEA7489373","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","COG-UK/LOND-124D925",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3028812",NA,"public","E8FA78D6254B3AB248C097AD5285B2DD","14BB6B774F180B8BA24FD5EA7A0E3072","Complete"
"5",5,5,5,"ERR4440354","2020/08/12 08:55:23","2020/08/14 16:59:51",828115,229724640,827479,277,63,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440354","ERX4380857","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935753","SAMEA7175314","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","COG-UK/LOND-1286A87",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2806011",NA,"public","FA00ADA7E485ED315721567BA8F38B87","3457520DA1980649639A998B929B2B00","Complete"
"6",6,6,6,"ERR4440247","2020/08/12 08:55:21","2020/08/14 16:00:58",623207,171448237,622788,275,42,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440247","ERX4380749","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935650","SAMEA7175211","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","COG-UK/LOND-1286AA5",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2805696",NA,"public","007953D57CFFEA3DD18E073543A9B103","EDCF0B57109E990FE798FABC5FD8269D","Complete"
"7",7,7,7,"ERR4440373","2020/08/12 08:55:23","2020/08/14 17:00:46",913633,260890224,913047,285,63,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440373","ERX4380878","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935773","SAMEA7175334","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","COG-UK/LOND-1286B39",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2806066",NA,"public","C38CF76352B5B12E6EA4F2D40EE73717","9995D711C6CD6EACF6CC7B9DD7564AC3","Complete"
"8",8,8,8,"ERR4440194","2020/08/12 08:55:20","2020/08/14 16:00:46",492059,143915064,491274,292,38,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440194","ERX4380697","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935598","SAMEA7175159","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","COG-UK/LOND-1286BFD",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2805535",NA,"public","65186F22493E321BF0C9F3D5FEF3F834","B6675C07CA4DD68F113BFFFABC162E1F","Complete"
"9",9,9,9,"ERR4440219","2020/08/12 08:55:20","2020/08/14 16:01:01",865636,234162340,865025,270,59,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440219","ERX4380722","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935623","SAMEA7175184","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7175184",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2805610",NA,"public","0293CE5D9FE00D845F59E762120798E8","1299BE5B802591A57CCC1A49DF00DEDC","Complete"
"10",10,10,10,"ERR4440269","2020/08/12 08:55:21","2020/08/14 16:00:56",368372,109632466,367504,297,30,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440269","ERX4380771","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935671","SAMEA7175232","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7175232",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2805759",NA,"public","6A6E41783F6310E33CDA854004FCD70C","CB657AEC4D8C098110E4976147AE204F","Complete"
