taxon,lineage,probability,pangoLEARN_version,status,note
_SRR13021027_0_111111111111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-0.830259_111111111121,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-1.358496_211111111111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-1.370493_111111111112,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-1.673748_112111111111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.059626_111111111211,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.098171_111111112111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.188756_211111111121,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.200752_111111111122,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.397633_121111111111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.504008_112111111121,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.511986_111112111111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.728989_211111111112,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.753786_111111121111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.820262_111111211111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.889885_111111111221,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-2.92843_111111112121,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.032245_212111111111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.044241_112111111112,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.227892_121111111121,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.342245_111112111121,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.418122_211111111211,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.430119_111111111212,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.456667_211111112111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.468664_111111112112,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.51067_111121111111,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.559248_211111111122,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.584045_111111121121,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.650521_111111211121,B.1.1.241,1.0,2021-02-21,passed_qc,
_SRR13021027_-3.672537_111211111111,B.1.1.241,1.0,2021-02-21,passed_qc,
