taxon,lineage,probability,pangoLEARN_version,status,note
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.31,B.1.1.59,0.85,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.32,B.1.1.59,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.33,B.1.1.60,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.34,B.1.1,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.35,B.1.1.26,0.44,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.36,B.1.1,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.37,B.1.1,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.38,B.1.1.57,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.39,B.1.1.17,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.310,B.1.1.67,0.75,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.311,B.1.1.67,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.312,B.1.1.37,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.313,B.1.1,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.314,B.1.1.71,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.315,B.1.1.75,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.316,B.1.1.60,1.0,2020-10-30,passed_qc,
MN908947.3_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1__complete_genome,B,0.56,2020-10-30,passed_qc,
_SN:MN908947.317,B.1.1,0.5,2020-10-30,passed_qc,
